product_name,Stars,Ratings,Reviews,current_price,MRP,processor,RAM,storage,ImageURL
AXL Celeron Dual Core 9th Gen ,3.3,4,0,18990,33990,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/x/5/vayu-book-thin-and-light-laptop-axl-original-imagq42brczpgczx.jpeg?q=70
AXL Celeron Dual Core ,3.8,31,5,16999,31990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/g/w/axl-intel-celeron-newly-launched-thin-light-laptop-14-1-inch-hd-original-imaghksyvhshpzry.jpeg?q=70
Primebook 4G Android Based MediaTek MT8788 ,4.1,819,264,16990,24990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 Inch) Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
Primebook 4G Android Based MediaTek MT8788 ,3.9,177,56,18990,24990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 Inch) Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
Lenovo Athlon Dual Core 3050U ,3.8,121,11,19650,35000,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70
Lenovo Athlon Dual Core ,3.7,155,16,18999,38000,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70
ASUS Chromebook Flip Touch Celeron Dual Core ,4,2869,394,16990,31990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/z/n/-original-imagg3fxfrttfgvj.jpeg?q=70
Avita SATUS S111 Celeron Dual Core ,3.7,1008,137,16990,29990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/f/8/i/-original-imageye8rydawpxz.jpeg?q=70
Avita SATUS S111 Celeron Dual Core ,3.7,1008,137,16990,29990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/q/9/e/-original-imageye8tzbey747.jpeg?q=70
ASUS EeeBook 12 Celeron Dual Core ,4.6,16,1,16990,27990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,29.46 cm (11.6 Inch) Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/9/i/-original-imagpxgqz3hujkrn.jpeg?q=70
